UniqueID,S1_is_R,S2_is_R,S3_is_R,S4_is_R,S5_is_R,S6_is_R
BxBO_R1,1,1,1,1,1,1
xBBY_R1,1,1,1,1,1,1
xRxB_R1,1,1,1,1,1,1
xxBB_R1,1,1,1,1,1,1
xxBO_R1,1,1,1,1,1,1
xxBR_R1,1,1,1,1,1,1
xxBx_R1,1,1,1,1,1,1
xxOB_R1,1,1,1,1,1,1
xxRx_R1,1,1,1,1,1,1
xxxB_R1,1,1,1,1,1,1
xxxO_R1,1,1,1,1,1,1
xxxR_R1,1,1,1,1,1,1
xxxY_R1,1,1,1,1,1,1
xxYB_R1,1,1,1,1,1,1
xxYO_R1,1,1,1,1,1,1
xxYR_R1,1,1,1,1,1,1
xxYx_R1,1,1,1,1,1,1
xxYY_R1,1,1,1,1,1,1
xYBO_R1,1,1,1,1,1,1
xYYB_R1,1,1,1,1,1,1
xYYO_R1,1,1,1,1,1,1
xYYR_R1,1,1,1,1,1,1
xYYY_R1,1,1,1,1,1,1
YOYx_R1,1,1,1,1,1,1
BxBx_R1,1,1,1,1,1,1
BxOx_R1,1,1,1,1,1,1
BxRx_R1,1,1,1,1,1,1
BxxB_R1,1,1,1,1,1,1
BxxR_R1,1,1,1,1,1,1
BxxY_R1,1,1,1,1,1,1
BxYx_R1,1,1,1,1,1,1
OBxx_R1,1,1,1,1,1,1
OxOx_R1,1,1,1,1,1,1
OxYx_R1,1,1,1,1,1,1
RRxx_R1,1,1,1,1,1,1
RxRB_R1,1,1,1,1,1,1
RxRO_R1,1,1,1,1,1,1
RxRR_R1,1,1,1,1,1,1
xBBB_R1,1,1,1,1,1,1
xBOx_R1,1,1,1,1,1,1
xBRx_R1,1,1,1,1,1,1
xBxB_R1,1,1,1,1,1,1
xBxO_R1,1,1,1,1,1,1
xBxY_R1,1,1,1,1,1,1
xOOB_R1,1,1,1,1,1,1
xOOO_R1,1,1,1,1,1,1
xOOR_R1,1,1,1,1,1,1
xOOY_R1,1,1,1,1,1,1
xORB_R1,1,1,1,1,1,1
xORO_R1,1,1,1,1,1,1
xORR_R1,1,1,1,1,1,1
xORY_R1,1,1,1,1,1,1
xOYB_R1,1,1,1,1,1,1
xOYR_R1,1,1,1,1,1,1
xOYY_R1,1,1,1,1,1,1
xRRR_R1,1,1,1,1,1,1
xRYB_R1,1,1,1,1,1,1
xxBY_R1,1,1,1,1,1,1
xYBR_R1,1,1,1,1,1,1
xYBx_R1,1,1,1,1,1,1
xYOB_R1,1,1,1,1,1,1
xYOx_R1,1,1,1,1,1,1
xYOY_R1,1,1,1,1,1,1
xYRx_R1,1,1,1,1,1,1
xYxY_R1,1,1,1,1,1,1
xYYx_R1,1,1,1,1,1,1
YBxx_R1,1,1,1,1,1,1
OxxO_R1,1,1,1,1,1,1
OxxR_R1,1,1,1,1,1,1
RBxx_R1,1,1,1,1,1,1
RxxO_R1,1,1,1,1,1,1
RxxR_R1,1,1,1,1,1,1
RxxY_R1,1,1,1,1,1,1
xBBx_R1,1,1,1,1,1,1
xBYx_R1,1,1,1,1,1,1
xxOY_R1,1,1,1,1,1,1
xYOO_R1,1,1,1,1,1,1
YBRx_R1,1,1,1,1,1,1
YOYY_R1,1,1,1,1,1,1
BRxx_R1,1,1,1,1,1,1
OxRB_R1,1,1,1,1,1,1
OxRO_R1,1,1,1,1,1,1
OxRx_R1,1,1,1,1,1,1
Oxxx_R1,1,1,1,1,1,1
OxxY_R1,1,1,1,1,1,1
ROBx_R1,1,1,1,1,1,1
ROxB_R1,1,1,1,1,1,1
ROxO_R1,1,1,1,1,1,1
ROxR_R1,1,1,1,1,1,1
ROxY_R1,1,1,1,1,1,1
